"","x1","x2","x3","x4","x5","z"
"62","1","0","0","2","0","1"
"63","2","1","1","2","1","2"
"64","2","0","0","1","3","1"
"65","0","1","0","2","1","0"
"66","2","1","1","2","1","3"
"67","1","0","0","0","1","1"
"68","2","1","0","1","2","3"
"69","2","0","2","0","3","2"
"70","2","1","0","1","3","1"
"71","0","0","0","0","3","0"
"72","1","1","0","2","1","0"
"73","2","0","0","1","3","1"
"74","0","0","1","1","2","0"
"75","0","1","2","0","1","3"
"76","2","1","2","0","0","3"
"77","2","0","2","1","2","3"
"78","2","1","2","0","0","3"
"79","0","1","1","1","0","1"
"80","0","1","1","2","1","0"
"81","2","1","1","1","1","1"
"82","1","1","1","0","2","1"
"83","1","1","1","1","3","2"
"84","1","0","1","0","0","1"
"85","0","1","0","0","2","1"
"86","2","0","2","1","0","2"
"87","1","1","0","0","0","0"
"88","1","1","2","1","2","1"
"89","2","0","1","1","3","0"
"90","2","0","0","2","0","1"
"91","2","1","2","2","0","3"
"92","0","0","2","1","1","1"
"93","2","0","2","2","2","3"
"94","2","1","0","1","0","1"
"95","0","1","2","0","0","2"
"96","0","1","0","0","3","2"
"97","0","1","1","2","3","0"
"98","0","1","0","1","1","0"
"99","1","0","1","2","2","0"
"100","2","1","0","2","1","3"
"101","2","1","1","0","2","2"
"102","2","0","2","2","0","3"
"103","0","0","2","2","0","3"
"104","2","0","0","1","1","2"
"105","0","1","0","1","2","0"
"106","1","0","1","1","2","1"
"107","1","1","1","0","2","2"
"108","1","0","1","0","3","1"
"109","1","1","2","2","1","1"
"110","1","0","0","1","3","0"
"111","1","1","2","2","0","2"
"112","1","1","1","2","2","3"
"113","0","0","2","2","1","3"
"114","0","1","1","1","2","2"
"115","0","1","2","0","3","3"
"116","1","1","1","2","2","1"
"117","0","1","0","0","2","0"
"118","2","0","0","2","0","3"
"119","0","0","0","0","1","1"
"120","1","0","0","2","3","1"
"121","0","0","1","2","0","1"
"122","0","1","0","2","0","0"
"123","1","0","1","2","1","1"
"124","0","0","0","0","1","1"
"125","1","0","0","0","3","0"
"126","1","1","2","2","0","0"
"127","0","1","1","1","3","1"
"128","0","0","1","0","0","0"
"129","0","1","1","1","2","1"
"130","1","1","0","2","1","2"
"131","2","0","1","1","0","3"
"132","0","0","2","1","0","2"
"133","1","0","0","1","1","0"
"134","2","1","0","2","1","2"
"135","2","0","2","0","3","2"
"136","0","1","0","1","2","0"
"137","1","0","0","1","1","0"
"138","2","0","2","0","0","1"
"139","0","0","1","2","3","1"
"140","1","0","0","2","0","3"
"141","1","0","1","2","1","1"
"142","0","1","2","0","0","3"
"143","0","1","1","1","3","1"
"144","1","0","1","0","3","0"
"145","1","1","1","1","3","0"
"146","2","0","0","1","2","3"
"147","0","1","2","0","1","2"
"148","0","0","0","0","3","0"
"149","2","0","1","2","3","2"
"150","0","0","2","1","3","1"
"151","1","1","1","0","1","2"
"152","0","0","2","1","3","0"
"153","2","0","2","2","2","3"
"154","1","0","2","2","3","0"
"155","0","0","1","1","3","1"
"156","0","1","0","2","2","0"
"157","1","0","2","0","2","3"
"158","0","0","0","2","3","0"
"159","0","1","1","0","2","3"
"160","2","0","1","0","3","0"
"161","1","1","0","2","3","3"
"162","0","0","2","1","3","2"
"163","1","0","2","2","0","3"
"164","1","1","2","1","3","1"
"165","2","0","0","1","0","0"
"166","2","1","2","2","1","3"
"167","0","1","2","2","2","0"
"168","2","0","0","2","1","2"
"169","1","0","0","1","0","2"
"170","2","0","1","2","2","3"
"171","1","0","0","0","0","2"
"172","2","0","1","2","1","3"
"173","0","1","2","0","2","3"
"174","2","1","1","2","1","2"
"175","2","0","1","2","1","1"
"176","1","1","2","2","0","1"
"177","0","1","1","1","2","1"
"178","2","1","2","2","0","3"
"179","2","0","1","2","3","1"
"180","1","0","1","0","2","2"
"181","1","0","1","2","0","0"
"182","0","1","2","1","2","2"
"183","1","1","2","1","0","3"
"184","1","0","0","2","2","0"
"185","1","1","0","1","2","0"
"186","0","0","1","1","0","3"
"187","2","1","0","0","3","3"
"188","2","0","1","2","2","3"
"189","0","1","2","1","3","3"
"190","0","0","2","0","3","3"
"191","1","1","0","2","0","0"
"192","1","1","0","1","3","0"
"193","1","1","0","1","1","0"
"194","0","1","1","2","2","0"
"195","0","1","0","0","0","1"
"196","2","0","1","2","0","3"
"197","1","1","0","2","3","2"
"198","2","1","1","2","2","3"
"199","2","1","1","1","0","1"
"200","1","1","2","0","2","3"
"201","0","1","0","0","0","1"
"202","1","0","2","1","2","2"
"203","2","0","2","1","0","3"
"204","2","0","1","0","0","3"
"205","0","0","1","1","1","1"
"206","0","1","2","1","0","1"
"207","0","0","1","1","3","1"
"208","0","1","2","2","2","1"
"209","0","1","0","0","3","0"
"210","1","1","0","1","2","0"
"211","0","1","2","1","3","3"
"212","2","0","2","1","2","3"
"213","1","1","0","0","3","3"
"214","1","1","0","0","0","0"
"215","2","0","1","2","1","2"
"216","1","0","0","2","3","1"
"217","1","1","0","0","2","3"
"218","2","1","0","1","3","3"
"219","1","1","0","0","2","1"
"220","0","0","0","0","1","0"
"221","1","1","1","2","2","2"
"222","1","0","2","2","0","3"
"223","0","0","2","2","2","2"
"224","0","0","0","1","3","0"
"225","2","0","2","2","2","3"
"226","1","0","1","1","3","1"
"227","2","1","0","2","0","1"
"228","1","0","2","0","2","3"
"229","0","0","2","1","3","1"
"230","2","0","1","2","1","2"
"231","1","0","1","0","1","2"
"232","2","0","2","1","0","3"
"233","0","1","1","0","1","0"
"234","0","0","1","1","0","1"
"235","1","0","0","1","3","0"
"236","1","1","0","0","1","0"
"237","2","0","0","0","1","0"
"238","1","1","2","2","3","3"
"239","1","1","1","1","0","0"
"240","0","1","2","1","1","0"
"241","0","1","0","1","0","0"
"242","2","0","2","0","3","2"
"243","2","0","1","2","1","3"
"244","2","1","1","1","1","3"
"245","0","0","1","1","2","2"
"246","2","1","1","0","0","2"
"247","2","1","0","1","2","0"
"248","1","0","1","0","2","1"
"249","2","1","0","0","3","1"
"250","0","0","0","0","2","2"
"251","0","0","1","0","1","0"
"252","1","1","0","1","3","1"
"253","0","0","0","1","2","0"
"254","1","1","1","1","1","0"
"255","2","0","1","1","1","2"
"256","0","1","1","0","3","1"
"257","0","1","0","1","0","0"
"258","1","1","1","0","3","1"
"259","0","0","0","2","0","3"
"260","1","1","2","0","1","3"
"261","2","1","0","0","0","1"
"262","2","1","2","0","2","2"
"263","1","1","0","1","0","0"
"264","0","1","1","2","1","0"
"265","1","1","2","2","1","3"
"266","2","1","2","0","2","3"
"267","2","1","2","2","1","3"
"268","1","1","0","1","2","1"
"269","0","1","1","2","3","0"
"270","1","1","0","2","2","1"
"271","2","1","2","2","2","2"
"272","1","0","2","0","0","0"
"273","1","1","1","1","1","3"
"274","2","0","2","1","3","1"
"275","1","1","2","1","0","3"
"276","2","1","2","2","0","3"
"277","2","1","1","1","0","2"
"278","0","1","0","0","1","1"
"279","2","1","0","1","0","1"
"280","2","0","1","1","3","0"
"281","2","1","0","0","2","0"
"282","0","1","1","2","3","0"
"283","0","0","2","2","3","2"
"284","2","0","0","1","3","0"
"285","1","0","2","1","0","3"
"286","1","1","1","2","3","3"
"287","2","0","0","1","0","3"
"288","0","0","1","2","1","0"
"289","0","0","1","1","2","0"
"290","1","0","0","2","2","3"
"291","0","1","2","0","1","3"
"292","2","1","0","2","0","2"
"293","0","1","2","2","2","0"
"294","2","1","0","2","1","3"
"295","1","1","2","2","2","2"
"296","0","1","1","2","2","0"
"297","1","0","0","0","0","2"
"298","2","0","1","2","0","3"
"299","1","1","0","1","3","1"
"300","0","1","1","1","1","0"
"301","1","0","0","1","0","2"
"302","2","1","1","1","2","1"
"303","1","1","0","1","1","1"
"304","2","0","1","1","3","2"
"305","1","1","1","1","3","1"
"306","1","0","0","2","1","1"
"307","2","0","1","0","3","1"
"308","2","0","0","1","0","2"
"309","0","0","1","0","3","0"
"310","1","1","0","1","3","2"
"311","1","0","1","1","0","1"
"312","0","1","2","2","3","1"
"313","0","0","2","2","3","1"
"314","0","1","1","2","0","0"
"315","2","1","2","1","1","2"
"316","1","0","0","2","3","1"
"317","0","0","1","0","1","3"
"318","1","0","2","2","2","3"
"319","0","1","1","0","0","1"
"320","2","1","2","0","2","3"
"321","0","1","1","0","3","2"
"322","1","0","1","0","3","2"
"323","1","1","2","2","2","3"
"324","1","1","0","0","0","2"
"325","2","1","0","0","0","0"
"326","0","1","2","2","0","1"
"327","2","0","0","1","1","2"
"328","1","0","0","1","2","0"
"329","0","0","1","0","2","0"
"330","1","1","1","0","3","2"
"331","2","0","1","2","1","1"
"332","1","0","2","1","2","1"
"333","0","0","0","0","1","0"
"334","1","0","2","0","3","1"
"335","2","0","0","1","3","1"
"336","1","1","1","0","3","3"
"337","0","0","2","0","3","2"
"338","0","1","2","1","2","0"
"339","0","0","1","1","2","1"
"340","0","1","2","2","1","3"
"341","1","1","2","1","0","2"
"342","2","0","1","1","0","3"
"343","0","1","2","2","2","3"
"344","0","0","2","1","1","2"
"345","2","1","0","2","3","3"
"346","1","0","2","1","1","1"
"347","2","0","1","0","0","1"
"348","0","1","2","1","1","1"
"349","1","0","1","0","0","3"
"350","2","1","1","0","0","1"
"351","2","0","2","2","2","2"
"352","0","0","2","2","0","0"
"353","2","0","2","2","1","3"
"354","0","1","1","0","1","2"
"355","0","1","2","0","3","2"
"356","2","1","2","0","3","1"
"357","1","1","0","1","1","0"
"358","2","1","1","0","0","0"
"359","1","1","0","1","0","0"
"360","0","0","1","1","0","3"
"361","0","1","2","0","3","3"
"362","0","0","2","0","1","2"
"363","0","1","1","2","1","0"
"364","1","1","0","2","0","1"
"365","1","0","1","1","2","2"
"366","1","0","2","2","2","3"
"367","2","1","0","2","3","3"
"368","0","1","1","0","1","0"
"369","1","0","1","1","0","2"
"370","1","0","1","1","3","0"
"371","2","0","1","0","3","2"
"372","1","0","2","0","1","1"
"373","2","1","2","0","1","2"
"374","0","1","2","1","3","3"
"375","2","1","2","0","1","3"
"376","0","0","0","2","1","2"
"377","1","0","0","1","3","0"
"378","0","0","0","1","0","0"
"379","1","0","0","1","2","0"
"380","2","0","2","0","0","2"
"381","2","1","2","1","0","3"
"382","0","1","0","2","3","0"
"383","2","1","1","1","3","0"
"384","2","1","0","0","2","1"
"385","1","1","0","0","2","3"
"386","1","0","0","1","0","0"
"387","1","1","0","0","2","1"
"388","2","1","1","0","3","3"
"389","2","0","1","2","1","2"
"390","2","0","1","0","3","1"
"391","1","1","1","0","2","1"
"392","1","0","0","0","0","2"
"393","2","0","0","0","1","2"
"394","0","0","0","2","3","0"
"395","1","1","0","1","3","0"
"396","2","0","2","2","1","2"
"397","2","1","0","0","2","0"
"398","1","0","2","2","1","3"
"399","1","1","1","1","2","2"
"400","2","0","2","2","2","3"
"401","2","1","2","1","0","3"
"402","0","0","1","1","1","0"
"403","1","1","2","1","0","1"
"404","1","1","2","2","3","1"
"405","0","0","0","2","1","0"
"406","0","1","0","0","0","1"
"407","1","1","1","1","3","2"
"408","2","1","1","2","0","2"
"409","2","1","2","1","3","3"
"410","0","1","1","1","1","0"
"411","0","1","1","0","3","1"
"412","1","1","0","1","0","0"
"413","0","1","2","2","1","2"
"414","0","0","0","0","2","0"
"415","0","0","0","1","1","1"
"416","0","0","0","2","3","0"
"417","0","0","2","1","3","0"
"418","1","1","0","2","2","3"
"419","0","1","1","2","3","3"
"420","2","1","1","1","2","2"
"421","2","0","0","0","2","0"
"422","0","0","0","0","3","0"
"423","1","1","1","2","0","1"
"424","0","0","1","1","2","1"
"425","2","0","1","2","0","3"
"426","1","1","2","2","0","2"
"427","0","0","1","1","0","3"
"428","2","1","1","1","1","1"
"429","1","1","0","0","2","0"
"430","1","0","1","1","1","2"
"431","2","0","2","0","0","3"
"432","0","0","1","1","1","2"
"433","0","0","1","1","2","2"
"434","0","0","0","0","3","0"
"435","1","0","1","1","0","2"
"436","2","1","2","2","1","3"
"437","0","0","2","2","0","0"
"438","1","1","1","2","2","2"
"439","0","0","2","2","3","1"
"440","2","0","0","2","0","2"
"441","2","0","0","2","0","2"
"442","1","0","0","1","2","0"
"443","2","1","1","2","0","2"
"444","0","1","2","2","1","0"
"445","2","0","2","2","3","3"
"446","0","1","1","1","0","0"
"447","1","1","2","2","0","3"
"448","1","0","2","2","0","3"
"449","1","1","2","2","0","1"
"450","2","0","2","0","0","2"
"451","0","1","1","1","2","0"
"452","1","1","2","0","3","3"
"453","1","1","2","1","2","3"
"454","1","0","0","1","1","0"
"455","1","0","2","0","2","2"
"456","1","1","0","2","2","0"
"457","2","0","1","0","2","2"
"458","2","1","1","0","2","1"
"459","2","1","2","0","1","3"
"460","0","1","2","2","3","2"
"461","2","0","0","0","2","0"
"462","2","0","0","2","2","3"
"463","1","1","1","1","0","0"
"464","0","0","2","0","3","2"
"465","0","0","0","0","3","1"
"466","1","0","1","0","2","2"
"467","2","0","0","0","1","2"
"468","2","0","1","2","2","2"
"469","0","1","2","1","1","2"
"470","0","1","1","1","3","0"
"471","1","0","2","2","3","2"
"472","0","1","0","2","1","0"
"473","2","1","2","1","2","3"
"474","0","0","2","0","0","3"
"475","1","1","1","2","0","1"
"476","1","0","0","0","2","1"
"477","0","0","0","2","2","0"
"478","1","1","0","1","2","0"
"479","1","1","2","1","2","2"
"480","1","1","2","1","1","3"
"481","1","1","0","1","3","1"
"482","0","0","1","1","0","1"
"483","0","0","1","0","3","1"
"484","0","0","2","1","3","0"
"485","2","0","2","0","3","3"
"486","1","0","0","0","1","1"
"487","1","1","0","2","0","0"
"488","0","0","1","1","1","1"
"489","0","0","0","1","3","0"
"490","2","1","1","2","1","2"
"491","1","0","1","0","2","3"
"492","1","1","0","1","3","0"
"493","1","0","1","2","3","2"
"494","2","1","1","2","0","1"
"495","0","0","1","2","2","0"
"496","2","0","2","2","1","1"
"497","2","1","2","2","3","3"
"498","0","1","1","1","0","1"
"499","1","1","2","1","1","2"
"500","1","0","2","0","1","3"
"501","2","1","1","0","3","2"
"502","2","0","0","2","3","1"
"503","1","1","0","0","0","2"
"504","1","1","0","2","3","2"
"505","0","1","1","2","0","0"
"506","1","1","2","0","1","3"
"507","0","0","0","1","1","0"
"508","0","0","0","0","0","1"
"509","0","0","2","0","1","0"
"510","2","1","0","2","1","1"
"511","2","1","1","1","2","2"
"512","1","1","0","2","2","0"
"513","0","1","2","2","0","1"
"514","1","1","2","0","1","3"
"515","2","0","0","0","3","0"
"516","2","1","0","1","1","2"
"517","0","0","1","0","3","1"
"518","1","1","1","2","0","1"
"519","2","1","1","0","3","3"
"520","1","1","0","1","2","0"
"521","2","0","2","1","1","2"
"522","1","1","0","2","0","0"
"523","2","1","0","2","1","3"
"524","1","0","0","1","2","1"
"525","2","0","2","1","1","3"
"526","2","1","0","0","2","0"
"527","0","1","2","1","2","2"
"528","0","1","2","2","0","0"
"529","1","1","1","1","1","2"
"530","0","0","1","0","0","2"
"531","0","1","2","0","3","0"
"532","0","1","2","0","1","3"
"533","1","0","1","2","2","1"
"534","2","0","0","2","3","1"
"535","1","0","0","0","0","1"
"536","1","0","1","1","2","3"
"537","1","0","0","2","1","0"
"538","0","0","0","1","0","1"
"539","2","0","1","1","2","3"
"540","0","1","1","1","0","0"
"541","1","0","1","2","0","2"
"542","1","1","1","0","1","1"
"543","2","0","2","1","1","2"
"544","2","1","0","2","1","2"
"545","2","1","0","2","3","3"
"546","2","1","2","2","3","3"
"547","2","0","0","2","3","0"
"548","0","0","2","2","0","2"
"549","1","1","1","2","0","1"
"550","2","1","0","0","1","1"
"551","0","0","2","0","2","1"
"552","1","0","2","2","2","2"
"553","1","1","2","2","1","1"
"554","2","1","2","1","2","3"
"555","2","0","0","1","1","2"
"556","1","0","2","0","0","3"
"557","2","0","1","2","2","3"
"558","0","0","0","1","1","0"
"559","2","0","1","2","1","1"
"560","0","1","1","0","2","1"
"561","2","1","1","0","0","2"
"562","1","0","0","0","2","0"
"563","2","0","1","2","0","2"
"564","1","1","2","1","1","2"
"565","0","0","1","1","3","0"
"566","0","0","1","1","3","0"
"567","2","0","0","1","3","1"
"568","1","0","1","1","0","3"
"569","0","0","0","0","0","2"
"570","1","0","2","1","1","1"
"571","0","0","2","1","1","2"
"572","1","1","2","1","2","3"
"573","0","0","0","1","3","0"
"574","0","0","2","1","3","0"
"575","1","1","2","1","2","1"
"576","2","1","2","0","2","2"
"577","2","0","1","2","2","3"
"578","1","0","2","2","1","3"
"579","1","0","1","1","1","0"
"580","2","0","1","1","1","1"
"581","1","0","1","0","2","1"
"582","0","0","0","0","3","2"
"583","0","1","1","2","3","0"
"584","0","0","0","2","2","1"
"585","1","0","0","0","3","1"
"586","0","0","0","1","3","0"
"587","2","0","0","1","2","2"
"588","0","1","1","0","3","2"
"589","1","1","0","0","1","2"
"590","1","1","2","2","0","1"
"591","1","0","0","0","1","0"
"592","1","0","0","1","0","0"
"593","2","1","0","1","2","0"
"594","1","0","2","2","3","2"
"595","1","0","2","2","2","3"
"596","1","1","0","2","1","2"
"597","0","0","1","2","2","2"
"598","2","0","2","0","0","2"
"599","0","0","0","0","3","1"
"600","2","0","2","2","3","3"
"601","1","1","2","0","1","3"
"602","2","0","1","2","0","3"
"603","2","0","2","2","2","2"
"604","2","0","2","1","0","3"
"605","0","1","0","0","0","1"
"606","2","0","0","0","2","1"
"607","0","1","1","2","1","0"
"608","2","0","0","0","0","1"
"609","0","1","0","0","2","1"
"610","0","1","0","2","1","0"
"611","0","0","2","1","3","1"
"612","1","0","0","1","1","0"
"613","2","0","1","0","3","0"
"614","1","0","0","2","1","3"
"615","2","1","0","2","2","2"
"616","2","1","0","0","2","1"
"617","0","0","1","0","0","2"
"618","2","1","1","0","2","3"
"619","1","1","0","2","1","1"
"620","1","1","2","1","0","2"
"621","2","0","1","1","0","3"
"622","2","1","1","2","1","1"
"623","0","0","0","2","1","1"
"624","1","0","1","1","1","1"
"625","0","0","1","1","2","0"
"626","2","1","2","1","3","3"
"627","0","0","1","0","2","0"
"628","2","1","2","1","0","2"
"629","1","0","0","1","3","2"
"630","1","1","2","1","2","1"
"631","2","1","0","2","3","2"
"632","2","1","2","1","2","3"
"633","1","0","0","0","3","0"
"634","2","1","0","0","3","1"
"635","2","0","2","0","0","1"
"636","0","0","0","0","2","0"
"637","0","0","1","1","2","1"
"638","2","1","2","0","3","1"
"639","0","0","1","2","3","0"
"640","0","1","1","2","0","0"
"641","2","1","2","0","0","1"
"642","0","0","2","1","2","1"
"643","0","0","2","2","1","0"
"644","2","0","2","0","3","3"
"645","0","0","2","1","3","0"
"646","0","0","1","1","2","2"
"647","0","1","2","2","2","1"
"648","2","1","1","0","2","2"
"649","1","1","0","0","3","2"
"650","2","0","1","2","0","3"
"651","2","1","0","2","1","1"
"652","1","0","1","0","2","1"
"653","0","0","1","0","2","1"
"654","2","0","2","2","3","3"
"655","2","1","2","1","1","3"
"656","0","0","1","0","1","2"
"657","0","0","0","2","3","0"
"658","1","0","1","1","3","1"
"659","0","0","0","1","0","0"
"660","2","0","1","1","0","3"
"661","0","0","1","2","1","2"
"662","2","0","0","0","3","0"
"663","1","1","0","1","2","3"
"664","2","0","1","0","3","1"
"665","2","0","1","0","3","1"
"666","1","0","0","0","0","0"
"667","2","0","0","0","2","2"
"668","1","1","1","1","2","1"
"669","0","1","2","2","3","3"
"670","1","1","2","0","1","3"
"671","2","0","0","1","2","1"
"672","2","1","1","2","1","0"
"673","1","1","1","2","3","2"
"674","0","1","2","2","0","0"
"675","2","1","1","2","0","2"
"676","0","0","2","0","2","2"
"677","0","0","1","1","3","1"
"678","2","1","1","0","1","1"
"679","0","1","2","0","2","2"
"680","1","0","1","2","1","3"
"681","1","1","0","2","2","1"
"682","0","1","1","0","3","2"
"683","2","0","1","0","1","1"
"684","0","1","0","0","0","1"
"685","2","1","1","1","1","2"
"686","0","0","2","1","3","0"
"687","0","1","0","1","2","0"
"688","1","0","0","1","3","0"
"689","1","1","1","1","1","1"
"690","1","0","1","2","0","0"
"691","0","0","2","1","3","0"
"692","0","1","1","1","1","1"
"693","2","1","0","1","2","1"
"694","0","0","2","2","2","2"
"695","0","0","0","2","1","0"
"696","0","1","1","0","2","0"
"697","0","0","1","1","3","0"
"698","0","0","0","1","3","0"
"699","1","0","1","1","3","0"
"700","1","0","2","1","2","2"
"701","1","0","0","1","0","3"
"702","1","0","1","1","1","1"
"703","0","0","2","0","3","3"
"704","1","1","0","0","3","3"
"705","0","1","0","0","3","1"
"706","0","0","1","0","3","0"
"707","0","1","2","0","2","2"
"708","0","0","0","1","1","0"
"709","2","0","1","1","1","1"
"710","1","0","1","1","1","1"
"711","1","0","0","2","3","0"
"712","2","0","1","1","0","3"
"713","1","0","2","2","3","0"
"714","0","0","0","2","2","0"
"715","2","1","2","2","3","2"
"716","0","1","2","0","3","3"
"717","2","1","1","2","0","0"
"718","1","1","0","1","3","0"
"719","0","1","2","2","1","1"
"720","0","1","2","0","2","2"
"721","1","0","2","1","1","3"
"722","2","1","0","1","3","2"
"723","1","0","0","1","2","0"
"724","1","0","2","1","2","2"
"725","1","0","0","1","0","1"
"726","2","0","0","2","3","1"
"727","2","0","2","2","0","3"
"728","0","1","0","2","3","1"
"729","0","1","2","2","0","2"
"730","0","0","2","2","1","3"
"731","1","0","2","1","0","2"
"732","1","1","0","1","1","0"
"733","1","1","1","0","1","2"
"734","0","1","0","2","0","0"
"735","1","1","2","2","1","2"
"736","2","0","1","2","0","2"
"737","1","1","0","1","3","1"
"738","0","0","2","1","2","0"
"739","2","1","0","2","1","2"
"740","1","1","2","1","1","2"
"741","0","1","0","1","1","1"
"742","2","0","0","2","0","3"
"743","0","1","2","2","0","1"
"744","0","0","0","2","3","0"
"745","0","0","0","0","0","1"
"746","2","0","1","2","1","1"
"747","0","0","1","0","1","3"
"748","1","1","1","1","0","2"
"749","1","0","1","0","1","1"
"750","0","1","2","2","2","2"
"751","0","0","2","1","0","1"
"752","0","1","0","2","2","0"
"753","1","0","2","0","0","3"
"754","1","1","0","1","3","2"
"755","0","1","1","2","3","3"
"756","1","1","0","0","3","0"
"757","2","1","1","1","2","1"
"758","2","0","0","0","1","0"
"759","1","0","0","2","0","1"
"760","1","1","0","2","3","1"
"761","2","0","2","1","0","3"
"762","1","1","2","1","2","3"
"763","1","0","2","1","3","1"
"764","1","0","1","1","2","1"
"765","2","0","0","0","3","0"
"766","1","1","1","2","3","2"
"767","0","0","1","0","0","1"
"768","0","1","0","0","3","2"
"769","0","1","2","1","2","2"
"770","1","1","2","0","2","3"
"771","2","1","0","1","3","0"
"772","0","0","1","2","0","0"
"773","1","1","0","1","0","1"
"774","0","0","0","0","1","1"
"775","2","0","1","0","1","3"
"776","1","1","2","0","0","2"
"777","1","0","2","2","2","3"
"778","1","1","2","2","1","3"
"779","0","0","0","0","3","0"
"780","1","1","0","1","3","0"
"781","1","1","0","0","1","2"
"782","2","1","0","1","0","1"
"783","0","0","2","2","0","1"
"784","0","0","0","2","2","0"
"785","2","0","2","0","3","1"
"786","0","1","1","2","0","0"
"787","0","1","1","1","2","0"
"788","1","0","0","1","1","2"
"789","1","1","0","1","1","1"
"790","2","0","0","2","1","2"
"791","1","0","0","2","2","0"
"792","1","1","1","0","2","0"
"793","2","0","1","1","0","3"
"794","1","0","2","2","1","3"
"795","1","1","0","1","2","0"
"796","0","1","1","2","1","0"
"797","0","1","0","1","0","0"
"798","0","0","2","1","3","0"
"799","1","0","1","0","0","3"
"800","0","1","1","1","1","1"
"801","2","0","1","0","0","1"
"802","2","1","1","1","2","3"
"803","1","0","0","1","2","0"
"804","1","1","2","1","1","1"
"805","0","1","2","2","0","0"
"806","1","0","1","0","0","0"
"807","0","1","2","1","1","1"
"808","2","1","0","1","2","1"
"809","2","0","2","1","2","3"
"810","2","0","2","2","1","1"
"811","0","0","2","0","3","3"
"812","2","1","1","1","1","3"
"813","2","0","2","0","0","3"
"814","1","0","1","0","2","1"
"815","0","0","1","0","3","0"
"816","0","1","1","0","3","2"
"817","1","1","0","0","0","0"
"818","2","1","1","2","0","3"
"819","0","1","2","0","3","1"
"820","2","1","1","0","3","1"
"821","0","0","0","1","0","1"
"822","1","0","1","0","1","1"
"823","1","0","2","1","0","3"
"824","0","1","0","1","1","0"
"825","1","0","0","0","1","2"
"826","2","1","2","1","1","2"
"827","0","1","0","2","0","0"
"828","0","1","2","1","2","3"
"829","1","1","0","2","3","2"
"830","1","0","0","1","3","0"
"831","1","1","2","2","3","1"
"832","2","1","2","2","2","3"
"833","1","1","0","2","2","1"
"834","2","0","1","2","2","1"
"835","0","0","0","1","1","0"
"836","0","1","2","2","0","0"
"837","1","0","2","0","2","3"
"838","1","1","2","1","0","1"
"839","2","1","0","1","0","1"
"840","0","0","1","1","0","3"
"841","2","0","1","1","2","1"
"842","0","1","1","2","1","2"
"843","0","1","1","2","3","1"
"844","1","0","1","0","2","0"
"845","1","0","0","1","2","0"
"846","0","0","2","1","1","0"
"847","0","1","0","2","1","0"
"848","0","1","1","2","3","0"
"849","2","1","1","0","3","1"
"850","2","0","1","2","0","2"
"851","0","0","1","1","2","0"
"852","2","0","2","2","2","2"
"853","1","1","2","1","0","0"
"854","0","1","0","0","0","0"
"855","2","0","2","2","0","3"
"856","1","1","2","0","3","3"
"857","2","1","2","1","0","2"
"858","1","0","0","1","3","0"
"859","2","1","1","2","2","3"
"860","0","0","2","0","1","3"
"861","1","0","2","1","1","3"
"862","1","1","1","1","0","1"
"863","1","1","1","2","0","1"
"864","1","1","0","1","1","1"
"865","1","0","2","2","2","3"
"866","1","1","2","2","0","2"
"867","2","0","0","0","1","3"
"868","2","0","1","2","0","3"
"869","0","0","0","2","2","0"
"870","2","1","1","0","0","0"
"871","1","1","2","0","3","3"
"872","0","0","2","2","2","1"
